strd_tizn_val,vehi_size_dv_val,vehi_typ_dv_val,avg_vehi_num
18,소형,화물,21.875
18,경형,승용,0.0
18,경형,승합,0.0
18,경형,특수,0.0
18,경형,화물,0.0
19,대형,승용,101.625
19,대형,승합,1.6666666666666667
19,대형,특수,1.0
19,대형,화물,1.0
19,중형,승용,166.125
19,중형,승합,4.75
19,중형,특수,1.0
19,중형,화물,2.0
19,소형,승용,2.0
19,소형,승합,0.0
19,소형,특수,1.0
19,소형,화물,14.5
19,경형,승용,0.0
19,경형,승합,0.0
19,경형,특수,0.0
19,경형,화물,0.0
20,대형,승용,108.77777777777777
20,대형,승합,1.8461538461538463
20,대형,특수,0.0
20,대형,화물,1.1666666666666667
20,중형,승용,159.92592592592592
20,중형,승합,3.1538461538461537
20,중형,특수,1.0
20,중형,화물,2.15
20,소형,승용,1.5
20,소형,승합,0.0
20,소형,특수,1.4
20,소형,화물,13.074074074074074
20,경형,승용,1.0
20,경형,승합,0.0
20,경형,특수,0.0
20,경형,화물,0.0
21,대형,승용,80.29629629629629
21,대형,승합,1.1428571428571428
21,대형,특수,0.0
21,대형,화물,1.3333333333333333
21,중형,승용,118.77777777777777
21,중형,승합,2.24
21,중형,특수,0.0
21,중형,화물,1.4375
21,소형,승용,1.4545454545454546
21,소형,승합,0.0
21,소형,특수,1.2
21,소형,화물,9.148148148148149
21,경형,승용,1.0
21,경형,승합,0.0
21,경형,특수,0.0
21,경형,화물,0.0
22,대형,승용,51.18518518518518
22,대형,승합,1.25
22,대형,특수,1.0
22,대형,화물,1.5
22,중형,승용,85.0
22,중형,승합,2.2857142857142856
22,중형,특수,0.0
22,중형,화물,1.1666666666666667
22,소형,승용,1.25
22,소형,승합,0.0
22,소형,특수,1.0
22,소형,화물,5.148148148148148
22,경형,승용,0.0
22,경형,승합,0.0
22,경형,특수,0.0
22,경형,화물,0.0
23,대형,승용,27.40740740740741
23,대형,승합,1.1666666666666667
23,대형,특수,1.0
23,대형,화물,1.0
23,중형,승용,49.74074074074074
23,중형,승합,1.2666666666666666
23,중형,특수,0.0
23,중형,화물,1.3333333333333333
23,소형,승용,1.0
23,소형,승합,0.0
23,소형,특수,1.0
23,소형,화물,2.5833333333333335
23,경형,승용,0.0
23,경형,승합,0.0
23,경형,특수,0.0
23,경형,화물,0.0
